Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Rancho Viejo - Taxco,8.34,29/08/2012,6,13,22,22,22,22,22,35,35,45,45,45,45
Reynosa - Matamoros,44,01/01/2014,31,63,115,115,115,115,115,115,167,167,219,219,219
Reynosa - Matamoros,44,01/01/2014,31,63,115,115,115,115,115,115,167,167,219,219,219
Reynosa - Nuevo Progreso,22.39,01/01/2014,15,31,57,57,57,57,57,57,84,84,110,110,110
Nuevo Progreso - Matamoros,21.61,01/01/2014,15,31,57,57,57,57,57,57,84,84,110,110,110
Río Verde - Cd. Valles,18.2,16/11/2012,19,38,55,55,55,55,55,68,68,106,106,106,106
Rayón - Vicente Guerrero,18.2,16/11/2012,19,38,55,55,55,55,55,68,68,106,106,106,106
La Rumorosa - Tecate,55.5,01/01/2014,31,63,115,115,115,115,115,204,204,293,293,293,293
La Rumorosa - Tecate,55.5,01/01/2014,31,63,115,115,115,115,115,204,204,293,293,293,293
El Hongo - Tecate,24.9,01/01/2014,15,31,63,63,63,63,63,105,105,146,146,146,146
Rumorosa - El Hongo,30.56,01/01/2014,15,31,63,63,63,63,63,105,105,146,146,146,146
Salina Cruz - La Ventosa,73.5,29/08/2012,45,90,165,165,165,165,165,235,235,315,315,315,315
Salina Cruz - Tehuantepec,22.7,29/08/2012,15,30,55,55,55,55,55,80,80,105,105,105,105
Tehuantepec - La Ventosa,52.6,29/08/2012,30,60,110,110,110,110,110,155,155,210,210,210,210
Tehuantepec - Ixtepec,30.9,29/08/2012,15,30,55,55,55,55,55,80,80,105,105,105,105
Ixtepec - La Ventosa,27.9,29/08/2012,15,30,55,55,55,55,55,80,80,105,105,105,105
San José del Cabo - Aeropuerto Los Cabos,20.2,01/01/2014,15,31,63,63,63,63,63,105,105,105,105,105,105
San Martín Texmelucan - Tlaxcala,19.419,24/05/2014,29,59,114,114,114,114,135,135,208,208,278,278,278
Santa Ana - Altar,73,17/03/2014,49,99,158,158,158,158,158,158,237,237,289,289,289
Tecate - Tijuana y Lib. de Tecate,29.8,31/01/2014,50,101,148,148,148,148,193,193,276,276,354,354,354
Tecate - Tijuana y Lib. de Tecate,29.8,31/01/2014,50,101,148,148,148,148,193,193,276,276,354,354,354
Libramiento de Tecate,12.25,31/01/2014,18,36,52,52,52,52,66,66,94,94,121,121,121
Ent. Esperanza - Ent. Sandoval,4.8,31/01/2014,6,13,19,19,19,19,26,26,36,36,43,43,43
Ent. Paso del Aguila - Tijuana,17.2,31/01/2014,28,57,83,83,83,83,109,109,153,153,197,197,197
Ent. Planta Dart - Valle Redondo Tijuana,0,31/01/2014,16,32,49,49,49,49,63,63,91,91,118,118,118
Tejocotal - Nuevo Necaxa,17.5,15/01/2014,12,24,31,31,31,31,31,38,38,54,54,54,54
Tepic - Mazatlán,238.05,01/02/2014,216,433,700,700,700,700,700,700,"1,153.00","1,153.00","1,568.00","1,568.00","1,568.00"
Tepic - Ent. San Blas,25,01/02/2014,27,55,83,83,83,83,83,83,150,150,230,230,230
Entronque San Blas - Rosamorada,45.18,01/02/2014,45,90,145,145,145,145,145,145,245,245,334,334,334
Entronque San Blas - Estación Ruiz,26.618,01/02/2014,33,67,94,94,94,94,94,94,160,160,217,217,217
Ent San Blas - Estación Yago,13.48,01/02/2014,15,30,42,42,42,42,42,42,75,75,100,100,100
Estación Yago - Ruiz,13.138,01/02/2014,18,37,52,52,52,52,52,52,85,85,117,117,117
Estación Yago - Rosamorada,31.7,01/02/2014,37,74,104,104,104,104,104,104,170,170,234,234,234
Ruiz - Rosamorada,18.562,01/02/2014,18,37,52,52,52,52,52,52,85,85,117,117,117
Rosamorada - Escuinapa,100.56,01/02/2014,97,194,312,312,312,312,312,312,528,528,720,720,720
Rosamorada - Acaponeta,46.3,01/02/2014,48,97,156,156,156,156,156,156,264,264,360,360,360
Acaponeta - Escuinapa,54.26,01/02/2014,48,97,156,156,156,156,156,156,264,264,360,360,360
Escuinapa - Villa Unión,64.95,01/02/2014,47,94,160,160,160,160,160,160,230,230,284,284,284
Escuinapa - Rosario,26.38,01/02/2014,23,47,80,80,80,80,80,80,115,115,142,142,142
Rosario - Villa Unión,38.57,01/02/2014,23,47,80,80,80,80,80,80,115,115,142,142,142
Tihuatlán - Tuxpam,37.5,15/01/2014,16,32,77,77,77,77,77,157,157,227,227,227,227
Torreón - Saltillo,115.019,29/08/2012,89,180,270,270,270,270,270,270,335,335,380,380,380
Matamoros - La Cuchilla,39.84,29/08/2012,32,65,100,100,100,100,100,100,130,130,145,145,145
Loma Bonita - Puebla,78,29/08/2012,57,115,170,170,170,170,170,170,205,205,235,235,235
Tuxtla Gutiérrez - San Cristóbal de las Casas,21,14/01/2014,23,46,88,88,88,78,78,78,120,120,166,166,166
Uruapan - Nueva Italia,60,08/02/2014,37,74,140,140,140,135,135,135,211,211,280,280,280
Ent. Zirimícuaro - Ent. Cajones,29,08/02/2014,18,37,69,69,69,67,67,67,105,105,140,140,140
Ent. Zirimícuaro - Taretán,8,08/02/2014,4,9,14,14,14,12,12,12,31,31,35,35,35
Taretán - Ent. Cajones,21,08/02/2014,14,29,55,55,55,53,53,53,74,74,105,105,105
Ent. Cajones - Ent. Cuatro Caminos,31,08/02/2014,18,37,71,71,71,68,68,68,105,105,140,140,140
Ent. Cajones - Ent. Santa Casilda,11,08/02/2014,5,10,15,15,15,14,14,14,31,31,35,35,35
Ent. Santa Casilda - Ent. Cuatro Caminos,20,08/02/2014,13,27,55,55,55,53,53,53,74,74,105,105,105
Yerbanís - Gómez Palacio,117,01/01/2014,129,259,441,441,441,441,578,578,838,838,"1,080.00","1,080.00","1,080.00"
Yerbanís - Pedriceña,48.55,01/01/2014,55,111,175,175,175,175,238,238,338,338,430,430,430
Yerbanís - Cuencamé,29.92,01/01/2014,34,68,107,107,107,107,148,148,209,209,247,247,247
Cuencamé - Pedriceña,18.63,01/01/2014,21,43,68,68,68,68,90,90,129,129,183,183,183
Pedriceña - Gómez Palacio,68.45,01/01/2014,74,148,266,266,266,266,340,340,500,500,650,650,650
Pedirceña - León Guzmán,51.48,01/01/2014,54,108,195,195,195,195,250,250,365,365,477,477,477
León Guzmán - Gómez Palacio,16.97,01/01/2014,20,40,71,71,71,71,90,90,135,135,173,173,173
Zacapalco - Rancho Viejo,17.3,29/08/2012,13,26,55,55,55,55,55,55,80,80,115,115,115
Zapotlanejo - Lagos de Moreno,118.5,17/01/2014,131,262,353,353,353,348,348,348,510,510,620,620,620
Zapotlanejo - Ent. Arandas,53.284,17/01/2014,60,120,158,158,158,154,154,154,233,233,268,268,268
Zapotlanejo - Tepatitlán,41.512,17/01/2014,43,87,120,120,120,118,118,118,191,191,216,216,216
Tepatitlán - Ent. Arandas,11.772,17/01/2014,16,33,38,38,38,37,37,37,42,42,52,52,52
Ent. Arandas - El Desperdicio,65.216,17/01/2014,71,142,195,195,195,194,194,194,277,277,352,352,352
Ent. Arandas - Jalostotitlán,37.516,17/01/2014,42,85,111,111,111,109,109,109,174,174,210,210,210
Jalostotitlán - El Desperdicio,27.7,17/01/2014,28,57,84,84,84,85,85,85,103,103,142,142,142
Ent. San Juan de los Lagos - El Desperdicio,8.18,17/01/2014,14,29,33,33,33,32,32,32,48,48,53,53,53
Ent. Acatic - Zapotlanejo,25.02,17/01/2014,25,51,73,73,73,72,72,72,115,115,130,130,130
