Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
La Tinaja - Veracruz,53,29/08/2012,40,80,125,125,125,125,125,125,160,160,185,185,185
La Tinaja - Paso del Toro,44.9,29/08/2012,32,65,100,100,100,100,100,100,135,135,155,155,155
Paso del Toro - Veracruz,8.1,29/08/2012,7,15,25,25,25,25,25,25,30,30,35,35,35
Cuacnopalan - Oaxaca,243,29/08/2012,94,190,385,385,385,385,385,470,470,745,745,745,745
Cuacnopalan - Tehuacán,41.048,29/08/2012,17,35,75,75,75,75,75,95,95,155,155,155,155
Tehuacán - Miahuatlán,30.367,29/08/2012,12,25,40,40,40,40,40,55,55,85,85,85,85
Miahuatlán - Nochixtlán,107.085,29/08/2012,30,60,120,120,120,120,120,145,145,215,215,215,215
Miahuatlán - Coixtlahuaca,69.885,29/08/2012,15,30,60,60,60,60,60,70,70,120,120,120,120
Nochixtlán-Oaxaca,64.5,29/08/2012,35,70,150,150,150,150,150,175,175,290,290,290,290
Nochixtlán - Huitzo,38.51,29/08/2012,27,55,115,115,115,115,115,145,145,215,215,215,215
Huitzo - Oaxaca,25.99,29/08/2012,12,25,35,35,35,35,35,50,50,85,85,85,85
Cuernavaca - Acapulco,262.58,09/12/2013,101,201,325,325,325,325,325,325,424,424,476,476,476
Cuernavaca - Puente de Ixtla,28.939,09/12/2013,15,30,50,50,50,50,50,50,63,63,70,70,70
Cuernavaca - Alpuyeca,20,29/08/2012,20,40,70,70,70,70,70,70,85,85,100,100,100
Cuernavaca - Central de Abastos,7,29/08/2012,3,7,10,10,10,10,10,10,15,15,20,20,20
Cuernavaca - Aeropuerto,9.8,29/08/2012,5,10,20,20,20,20,20,20,25,25,30,30,30
Cuernavaca - Xochitepec,13.072,29/08/2012,10,20,25,25,25,25,25,25,30,30,35,35,35
Xochitepec - Alpuyeca,6.928,29/08/2012,3,7,12,12,12,11,11,11,15,15,20,20,20
Alpuyeca - Puente de Ixtla,8.939,29/08/2012,10,20,25,25,25,25,25,25,30,30,35,35,35
Puente de Ixtla - Chilpancingo,143.021,09/12/2013,32,63,130,130,130,130,130,130,168,168,188,188,188
Puente de Ixtla - Paso Morelos,54.061,29/08/2012,25,50,105,105,105,105,105,105,135,135,140,140,140
Paso Morelos - Chilpancingo,88.96,29/08/2012,37,75,155,155,155,155,155,155,205,205,235,235,235
Chilpancingo - Tierra Colorada,34.713,09/12/2013,29,58,75,75,75,75,75,75,98,98,110,110,110
Tierra Colorada - Acapulco,55.907,09/12/2013,25,50,70,70,70,70,70,70,95,95,108,108,108
Durango - Mazatlán,230.1,28/10/2013,252,506,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,470.00","1,470.00","2,014.00","2,014.00","2,014.00","2,014.00"
Libramiento de Durango - Entronque Otinapa,44.9,28/10/2013,29,58,115,115,115,115,115,168,168,231,231,231,231
Entronque Otinapa - Piloncillo,59.1,28/10/2013,38,77,152,152,152,152,152,224,224,306,306,306,306
Piloncillo - Santa Lucía,67.8,28/10/2013,121,243,480,480,480,480,480,706,706,968,968,968,968
Santa Lucía - Villa Unión,58.3,28/10/2013,64,128,253,253,253,253,253,372,372,509,509,509,509
Santa Lucía - Concordia,33.3,28/10/2013,48,96,190,190,190,190,190,276,276,371,371,371,371
Concordia - Villa Unión,25,28/10/2013,16,32,63,63,63,63,63,96,96,138,138,138,138
Durango - Yerbanís,105.2,01/01/2014,101,202,346,346,346,450,450,450,660,660,879,879,879
Durango - Guadalupe Victoria,49,01/01/2014,47,94,161,161,161,209,209,209,307,307,409,409,409
Guadalupe Victoria - Yerbanís,56.2,01/01/2014,54,108,185,185,185,241,241,241,353,353,470,470,470
Ecatepec - Pirámides,22.21,13/12/2013,29,59,113,165,223,113,165,223,277,336,389,445,500
Ecatepec - Pirámides,22.21,13/12/2013,29,59,113,165,223,113,165,223,277,336,389,445,500
San Cristóbal Ecatepec - Tepexpan,9.73,13/12/2013,11,23,40,62,80,40,62,80,102,121,141,161,183
Tepexpan - San Martín de las Pirámides,12.48,13/12/2013,11,23,40,62,80,40,62,80,102,121,141,161,183
El Centinela - La Rumorosa,47.297,01/01/2014,11,21,100,100,100,100,100,124,148,155,164,174,183
El Sueco - Villa Ahumada,86.7,01/01/2014,75,150,238,312,460,238,335,460,593,668,739,836,899
Ensenada - Tijuana,89.54,01/01/2014,45,93,189,189,189,189,189,234,234,267,267,267,267
La Misión - Corredor 2000,25.327,01/01/2014,13,26,52,52,52,52,52,63,63,73,73,73,73
Ensenada - La Misión,33.766,01/01/2014,15,31,63,63,63,63,63,78,78,89,89,89,89
La Misión - Rosarito,29.847,01/01/2014,15,31,63,63,63,63,63,78,78,89,89,89,89
Rosarito - Tijuana,25.927,01/01/2014,15,31,63,63,63,63,63,78,78,89,89,89,89
Ent. Agua Dulce - Cárdenas,53.3,29/08/2012,30,60,115,115,115,115,115,115,160,160,200,200,200
Ent. Agua Dulce - Cárdenas,53.3,29/08/2012,30,60,115,115,115,115,115,115,160,160,200,200,200
Ent. Agua Dulce - Ent. Magallanes,22.8,29/08/2012,15,30,60,60,60,60,60,60,80,80,100,100,100
Ent. Magallanes - Cárdenas,30.5,29/08/2012,15,30,60,60,60,60,60,60,80,80,100,100,100
Ent. Tulancingo - Venta Grande,41.2,15/01/2014,23,46,66,66,66,66,66,81,81,111,111,111,111
Ent. Tulancingo - Venta Grande,41.2,15/01/2014,23,46,66,66,66,66,66,81,81,111,111,111,111
Libramiento de Tulancingo,22.7,15/01/2014,12,24,31,31,31,31,31,38,38,54,54,54,54
Ent. Pachuca II - Ent. Santa María El Chico,8,01/07/2003,2,5,7,7,7,7,7,9,9,13,13,13,13
Ent. Asunción - Tejocotal,18.5,15/01/2014,12,24,31,31,31,31,31,38,38,54,54,54,54
Estación Don - Nogales,459,29/08/2012,155,315,535,535,535,535,535,535,780,780,905,905,905
Estación Don - Navojoa,85.2,29/08/2012,32,65,110,110,110,110,110,110,160,160,180,180,180
Navojoa - Cd. Obregón,63.8,29/08/2012,32,65,110,110,110,110,110,110,160,160,180,180,180
Cd. Obregón - Guaymas,107.7,29/08/2012,32,65,110,110,110,110,110,110,160,160,180,180,180
Libramiento de Guaymas,21.5,29/08/2012,15,30,60,60,60,60,60,60,85,85,105,105,105
Hermosillo - Magdalena de Kino,169.9,29/08/2012,32,65,110,110,110,110,110,110,160,160,190,190,190
