"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"104","07026",,12398.98,,,,,,,,,22581.84,,,,,8567.04,1932.59,,,,,,,,,,,
"105","07027",,,,,,,,,,,,,,,1756.12,,,,,6310.1,2914.53,,10120.19,,,,,
"106","07028",,6495.1,,,,,,,,,,,,,1495.73,,,,,,,,,,,,,
"107","07030",,,,,,,,,,,25200.78,,,,4159.5,,,,,,,,,,,,,
"108","07031",,,,,,,,,,,27475.59,,,,,,1800.25,,1785.73,,,,,,,,,
"109","07032",,,3950,,31627.78,,,,,,9751.56,,,,5556.11,,,,1513.56,,,,,,,,,
"110","07033",,,,,50259,,,,,,12332.57,,,,,,,,,,,,,,,,,
"111","07034",,,,,,,,7008.7,,,37294.14,,,,4140.38,,2402.41,,,5785.25,,,4710.66,,,,,
"112","07035",,,,,29806.66,,,,,,,,,,5572.38,,,,1501.47,4654.24,3493.92,14127.64,,,,,,
"113","07036",,14180,,,,,,,,,13494.14,,,,,7067.21,,,,,,,,,,,,
"114","07037",,3835.44,,,31687.13,,,,,,9669.5,,,,5352.09,,,,1474.8,,,,,,,,,
"115","07038",,0,,,,,,,,,11433.28,,,,,8421.04,,,,,,,,,4400,,,
"116","07039",,,,,,,,,,,26125.74,,,,,,,,,,,,,,,,,
"117","07040",,3818.77,,,31661.38,,,,,,9610.75,,,,5193.17,,,,1488.96,4333.19,,,,,,,,
"118","07041",,16618.46,,,,,,8723.24,,,24397.08,,,,,,,,,,,,11743.48,,,,,
"119","07042",,,,,,,,,,,25249.13,,,,,,,,,,,,,,,,,
"120","07043",,,,,50647.18,,,,,,24703.12,,,,,,,,,,,,,,,,,
"121","07044",,,,,,,,,,,,,,,,,,,,,,,10089.67,,,,,
"122","07045",,,,,50619.72,,,,,,24695.68,,,,,,,,,,,,,,,,,
"123","07046",,,,,,,,7750,,,21750,,,,2310.06,,,,,3365.97,3075.54,,15004.41,,,,,
"124","07047",,,,,,,,,,,24806.54,,,,,,,,,,,,,,,,,
"125","07048",,,4173.41,,50824.53,,,,,,12354.12,,,,,,,,,,,,,,,,,
"126","07049",,6500,,,,,,,,,11433.62,,,,,8464.14,1890.98,,,,,,,,,,,
