"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"179","07106",,,,,,,,10.5,,,2110,,,,,,,,,,,,14,,,,,
"180","07107",,,,,,,,8,,,2535,,,,182,,,,,52,317,,2,,,,,
"181","07108",,,,,,,,12,,,1813,,,,167,,10,,,101,145.25,,20.25,,,,,
"182","07109",,,,,,,,,,,931,,,,,,10,,,,,,,,,,,
"183","07110",,21,,,,,,,,,,,,,36,,,,,,,,,,,,,
"184","07111",,418.75,,,,,,,,,120,,,,,97,,,,,,,,,,,,
"185","07112",,10,,,,,,,,,1305,,,,,,12,,,,,,,,,,,
"186","07113",,128.75,,,,,,,,,58,,,,,25,10,,,,,,,,,,,
"187","07114",,,,,,,,311,,,3782,,,,,,,,5602,,,,,,,,,
"188","07115",,,,,482,,,9,,,794,,,,,,,,,,,,,,,,,
"189","07116",,,,,,,,125,,,3468,,,,,,,,1386,,,,,,,,,
"190","07117",,,,,,,,,,,349,,,,,,,,,,,,,,,,,
"191","07118",,,,,,,,,,,842,,,,,,,,,,,,,,,,,
"192","07119",,179,,,,,,,,,174,,,,,10,5,,,,,,,,,,,
"193","08001",,,,220,,,,200,,,1171,,,,,,,3265,,,1744,,,,3324,,,
"194","08002",,,,460,,,,123,,,246,,,,,,,4344,,,,,,,195,22,,
"195","08003",,,,299,,,,178,,,147,,,,,,,4746.66,,,,,,,,,,
"196","08004",,,,17.5,,,,,,,9.8,,,,,,,,,,,,,,,,,
"197","08005",,,,,,,,4890,,,650,,,,,,,1728.2,,,400,,,,2155,,,
"198","08006",,,,16317,,,,,,,1400,,,,,2738,,,,,,,,,,,,
"199","08007",,,,895,,,,75,,,25,,,,,35,,403,,,,,,,,,,
"200","08009",,,,2660,,,,,,,485,,,,,99.75,,,,,,,,,,,,
"201","08010",,,,,,,,700,,,1486,,,,,14,,4693,,,860,,,,3465,,,
"202","08011",,,,58,,,,2500,,,,,,,,,,9746.5,,,,,,,350,,,
"203","08012",,,,3590,,,,,,,3550,,,,,848,,,,,,,,,,,,
"204","08013",,,,75,,,,810,,,884,,,,,510,,891.25,,,350,,,,160,,,
"205","08014",,,,79,,,,31.5,,,16,,,,,,,793.4,,,,,,,,,,
"206","08015",,,,18,,,,,,,,,,,,,,1806,,,,,,,,,,
"207","08016",,,,29,,,,49.33,,,,,,,,,,1371,,,,,,,,,,
"208","08017",,,,39652,,,,,,1.75,14364,,,,,8328.69,,,,,,,11.47,,50,,,
"209","08018",,,,15048,,,,,,,9305,,,,,1978.6,,,,,,,,,,,,
"210","08019",,,,3340,,,,4,,,2388,,,,,40,,3956,,,,,3.6,,155,100,,
