"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1905","27014",,,,,24696010.05,,,,,,98592,,,,20332.45,,,,,,189258.36,,,,,,,
"1906","27015",,,,,3556779.89,,,,,,9852584.14,,,,,,,,32333054.25,,,,,,,,,
"1907","27016",,,,,6272844.94,,,,,,417312,,,,,,,,14190897.84,,,,,,,,,
"1908","27017",,,,,,,,480000,,,324200,,,,1196135.05,,,,37322572.79,,4714724.85,,46000,,,,,
"1909","28001",,,,,,178800,,,,,3507626.2,,,,,,6158261.81,,,,13851285,,,,,,,
"1910","28002",1442086.88,,,,,,,,,,478392.56,,,,,,82800,,,,62865326.11,127022016,,,,,,
"1911","28003",0,,,,,,,76333910.74,,,,,,,97352.07,,0,,,10844311.5,179154478.9,328626020.9,10459100.71,,,,,
"1912","28004",,,,,,,,,,,235200,,,,1147050,,447389,,,,87596,,,,,,,
"1913","28005",,,,,,,,,,,180000,,,,,,,,,,33638904.8,,,,9240000,,,
"1914","28006",,,,340970.64,,,,,,,,,,,,,,,,,,,,,,,,
"1915","28007",,,,,,,,,,,,,,,,,454400,,,,5355772.31,91377,,,,,,
"1916","28008",1152000,,,,,1862000,,,,,0,,,,,,1275304.15,,,,62319380.43,,,1630165.8,,,,
"1917","28010",,,,,,,,,,,,,,,,,,,,,13965200,,,,,,,
"1918","28011",,,,,,,,,,,,,,,24136560.75,,2452346,,,,2496482.7,7138656,90000,37584.3,,,,
"1919","28012",82146900,,3355901.5,,,,,165222008.2,,,937992,7729378.8,,,808867.5,,68871278.28,,,13970091.54,258815067.75,386477682.09,69720284.56,5363295,,,,
"1920","28013",,,,,,,,,,,105408,,,,,,311122000.72,,,,9356141.52,,,23964980.22,,,,
