"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"82","07002",,137.6,,,,,,,,,49.61,,,,1648.4,,,,,6215.87,676.36,,,,,,,
"83","07003",,,55.38,,243.8,,,,,,23.8,,,,24320.96,,,,207580.11,37128,204.45,,,,,,,
"84","07004",,27.02,,,,,,,,,660.9,,,,,,103.5,,,,,,,,,,,
"85","07005",,,455.4,,,,,,,,665.33,,,,,,,,,,,,,,,,,
"86","07006",,338.72,,,,,,,,,120,,,,,43.05,,,,,,,,,,,,
"87","07007",,11.82,,,,,,,,,185.4,,,,,12.76,41.58,,,,,,,,,,,
"88","07008",,,,,,,,,,,1258.9,,,,,,,,,,,,,,,,,
"89","07009",,,,,,,,,,,,,,,,,,,,,5760,,,,,,,
"90","07010",,462,,,,,,,,,60.14,,,,,184.76,,,,,,,,,,,,
"91","07011",,425.41,,,,,,,,,300.33,,,,,96.75,,,,,,,,,,,,
"92","07013",,,,,,,,,,,276.12,,,,,,,,,,,,,,,,,
"93","07014",,,,,,,,,,,263.6,,,,,,,,,,,,,,,,,
"94","07016",,,,,,,,,,,90.2,,,,,,350,,4674.6,,5400,,,,,,,
"95","07017",,,,,,,,145.77,,,412.65,,,,165.3,,,,,276.25,4305.05,,1871.5,,,,,
"96","07018",,,,,,,,,,,150.93,,,,,,38.1,,,,,,,,,,,
"97","07019",,790,,,,,,155,,,1800,,,,,,,,,,,,3529.97,,,,,
"98","07020",,,,,,,,,,,1442.7,,,,1368.25,,33,,,4925,268.8,,,,,,,
"99","07021",,,,,,,,,,,194.74,,,,,,301.75,,,,,,,,,,,
"100","07022",,,,,,,,,,,226.63,,,,,13.5,191.1,,,,,,,,,,,
"101","07023",,0,,,,,,,,,50.8,,,,,248.4,,,,,,,,,,,,
"102","07024",,,,,,,,,,,319.77,,,,,49.76,,,,,,,,,,,,
"103","07025",,,,,,,,,,,313,,,,,,,,,,,,,,,,,
"104","07026",,294.84,,,,,,,,,187.92,,,,,66.57,170,,,,,,,,,,,
"105","07027",,,,,,,,,,,,,,,786.65,,,,,5343,255,,111.12,,,,,
"106","07028",,132.3,,,,,,,,,,,,,635.4,,,,,,,,,,,,,
"107","07030",,,,,,,,,,,527.94,,,,201.78,,,,,,,,,,,,,
"108","07031",,,,,,,,,,,1675.95,,,,,,1421,,1516.38,,,,,,,,,
"109","07032",,,300,,43.2,,,,,,56.32,,,,1800.84,,,,7309.8,,,,,,,,,
"110","07033",,,,,16.93,,,,,,12.76,,,,,,,,,,,,,,,,,
