Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
510,Coatzacoalcos-Salina Cruz,Acayucan-La Ventosa,185,181.4,ET2
510,Coatzacoalcos-Salina Cruz,La Ventosa-Tehuantepec,185,40,C
510,Coatzacoalcos-Salina Cruz,Tehuantepec-Salina Cruz,185,19,B2
510-L,Libramiento De La Ventosa-Salina Cruz (Directo),Libramiento De La Ventosa-Salina Cruz (Directo),185D,75.4,A
520,Coatzacoalcos-Villahermosa,Coatzacoalcos-Villahermosa,180,156.95,NA
520,Coatzacoalcos-Villahermosa,Coatzacoalcos - Nuevo Teapa,180,16.4,B4
520,Coatzacoalcos-Villahermosa,Nuevo Teapa-Ent. La Venta,180,31.5,ET4
520,Coatzacoalcos-Villahermosa,Ent. La Venta-Arroyo Hondo,180,56.66,B2
520,Coatzacoalcos-Villahermosa,Arroyo Hondo – Villahermosa,180,52.39,ET4
530,Colima-Ent. Tecomán,Colima-Ent. Tecomán,180,39.4,ET4
540,Córdoba-Ent. Boticaria,Córdoba-Ent. Boticaria,150,124,NA
540,Córdoba-Ent. Boticaria,Cordoba – Ent. La Tinaja,150,59.8,B2
540,Córdoba-Ent. Boticaria,Ent. La Tinaja – Boca Del Rio,150,56.8,C
540,Córdoba-Ent. Boticaria,Boca De Rio – Boticaria,150,7.4,B4
540-L,Libramiento Veracruz,Libramiento Veracruz,180,32,A4
550,Córdoba-Ent. La Tinaja (Directo),Córdoba-Ent. La Tinaja (Directo),150D,45.1,ET4
560,Las Choapas – Ocozocuautla,Las Choapas – Ocozocuautla,N/D,203,NA
560,Las Choapas – Ocozocuautla,Las Choapas – Raudales,N/D,171,ET2
560,Las Choapas – Ocozocuautla,Raudales – Ocozocuautla,N/D,32,ET2
570,Cuacnopalan-Oaxaca (Directo),Cuacnopalan-Oaxaca (Directo),135D,245.8,NA
570,Cuacnopalan-Oaxaca (Directo),Cuacnopalan - Huitzo ( Directo ),135 D,217,ET2
570,Cuacnopalan-Oaxaca (Directo),Huitzo-Oaxaca (San Pablo Etla),135 D,28.8,ET4
580,Se Deroga,Se Deroga,NA,NA,NA
581,Se Deroga,Se Deroga,NA,NA,NA
590,Cuernavaca-Chilpancingo ,Cuernavaca-Chilpancingo ,95,218.7,NA
590,Cuernavaca-Chilpancingo ,Cuernavaca – Alpuyeca ,95,26,C
590,Cuernavaca-Chilpancingo ,Alpuyeca – Iguala,95,98,D
590,Cuernavaca-Chilpancingo ,Iguala-Ent. (Aut. Cuernavaca-Chilpancingo),95,90,B2
590,Cuernavaca-Chilpancingo ,Ent. (Aut. Cuernavaca-Chilpancingo)-Chilpancingo,95,4.7,ET4
600,Cuernavaca - Chilpancingo (Directo),Cuernavaca - Chilpancingo (Directo),95 D,183.43,ET4
610,Cuernavaca – Cuautlixco,Cuernavaca – Cuautlixco,160,43.2,B4
620,Se Deroga ,Se Deroga ,NA,NA,NA
630,Culiacán-Los Mochis,Culiacán-Los Mochis,15,199.57,NA
630,Culiacán-Los Mochis,Culiacán-Pericos,15,44,A2
630,Culiacán-Los Mochis,Pericos-Guamuchil,15,56,C
630,Culiacán-Los Mochis,Guamuchil-Las Brisas,15,18.8,ET4
630,Culiacán-Los Mochis,Las Brisas - Los Mochis,15,80.77,ET4
635,Delicias (Ent. Autopista Jiménez-Delicias)-Chihuahua,Delicias (Ent. Autopista Jiménez-Delicias)-Chihuahua,45,77,ET4
637,Delicias -Meoqui,Delicias -Meoqui,45,13.5,C
638,Díaz Ordaz-Ent. Sabancuy,Díaz Ordaz-Ent. Sabancuy,259,57.4,D
639,Durango -Mezquital,Durango -Mezquital,40,72.15,D
640,Durango-Yerbanís (Directo),Durango-Yerbanís (Directo),40D,105.3,ET4
650,Durango-Parral,Durango-Parral,45,402.1,NA
650,Durango-Parral,Durango-Guadalupe Aguilera,45,50.5,A2
650,Durango-Parral,Guadalupe Aguilera-Donato Guerra ,45,20,A2
650,Durango-Parral,Donato Guerra-Parral,45,331.6,C
660,Durango-Torreón,Durango-Torreón,40,254,NA
660,Durango-Torreón,Durango Cuencame,40,144.1,C
660,Durango-Torreón,Cuencamé-Ent. Cuencamé Iii,40,13.5,ET2
660,Durango-Torreón,Ent. Cuencame Iii - Torreon,40,96.4,D
670,Durango – Villa Union,Durango – Villa Union,40,294.4,C
675,Durango-Villa Unión (Directo),Durango-Villa Unión (Directo),40D,230,NA
675,Durango-Villa Unión (Directo),Lázaro Cárdenas-Villa Unión,40D,208.4,ET2
675-L,Libramiento De Durango ,Libramiento De Durango ,40D,21.6,ET2
676,E.C. (Catazajá-Rancho Nuevo (Ent. Shupa))-Lagunas De Montebello,E.C. (Catazajá-Rancho Nuevo (Ent. Shupa))-Lagunas De Montebello,307,422,D
677,El Cedral-Playa Del Carmen (Directo),El Cedral-Playa Del Carmen (Directo),305D,54,A2
678,El Paraíso- Atoyac (Ent. Carr. Acapulco-Zihuatanejo),El Paraíso- Atoyac (Ent. Carr. Acapulco-Zihuatanejo),197,52.8,D
680,El Sueco-Janos,El Sueco-Janos,10,257,NA
680,El Sueco-Janos,El Sueco-Flores Magón,10,59,C
680,El Sueco-Janos,Flores Magón-Ent. El Berrendo,10,12,A
680,El Sueco-Janos,Ent. El Berrendo-Buenaventura,10,43,C
680,El Sueco-Janos,Buenaventura-Vado De Sta. María,10,41,C
680,El Sueco-Janos,Vado De Sta. María-Janos,10,102,A
685,El Suspiro-Tenosique Km 10+400-71+900,El Suspiro-Tenosique Km 10+400-71+900,203,71.9,D
690,Ensenada-El Chinero,Ensenada-El Chinero,3,198.6,C
700,Ensenada - Lázaro Cárdenas,Ensenada - Lázaro Cárdenas,1,196,NA
700,Ensenada - Lázaro Cárdenas,Ensenada - Sánchez Taboada,1,16,ET4
700,Ensenada - Lázaro Cárdenas,Sánchez Taboada - Lázaro Cárdenas,NA,180,ET2
705,Ent. Autopista (Guadalajara-Tepic)-Compostela (Directo),Ent. Autopista (Guadalajara-Tepic)-Compostela (Directo),68D,43.5,A2
710,Ent. (Aut. México–Puebla)-Ocotoxco (Directo),Ent. (Aut. México–Puebla)-Ocotoxco (Directo),117D,35,A4
720,Ent. (Carr. Hermosillo-Nogales)-Moctezuma,Ent. (Carr. Hermosillo-Nogales)-Moctezuma,14,166,B2
